,y,x,street_count,highway,ref
1449295050,-37.8157636,144.979017,3,,
1449295066,-37.8156229,144.9790371,3,,
1449297301,-37.8154528,144.9774567,3,,
1449297324,-37.8154411,144.9773238,4,,
1449431342,-37.8133286,144.9738983,4,,
1449431464,-37.8142718,144.9744752,3,,
1449431465,-37.8131745,144.9739711,4,,
1449431467,-37.8130456,144.9739104,4,,
1449431476,-37.8131754,144.973829,4,,
1449431504,-37.8152391,144.9747855,4,,
1449431544,-37.8143103,144.9743508,4,traffic_signals,
1449431554,-37.8134711,144.9737343,3,,
1449431630,-37.8153555,144.97498,3,,
1479930070,-37.8211984,144.9549889,4,,
1479930102,-37.8210097,144.9549332,4,,
1479930110,-37.8209609,144.9551265,4,,
1490182710,-37.8218976,144.9736939,3,,
1490182711,-37.8220409,144.9737949,3,,
1492131943,-37.812237,144.9447994,3,,
1492131965,-37.8120547,144.9451685,6,,
1492145829,-37.8131366,144.9513213,4,,
1492145844,-37.8132536,144.9513753,4,,
1492150945,-37.8150314,144.9528897,3,,
1492150956,-37.8141521,144.9519721,4,,
1492150958,-37.8149348,144.9528434,3,,
1492150966,-37.8150722,144.9523906,4,,
1492150975,-37.8151166,144.952238,3,,
1492150978,-37.8141993,144.9518144,3,,
1492150982,-37.81516,144.9524316,4,,
1492150985,-37.8152043,144.9522786,3,,
1492153091,-37.8124185,144.9538205,4,,
1492153093,-37.8125285,144.9538706,4,,
1492153100,-37.8124875,144.9540117,4,,
1492410147,-37.8065955,144.9629848,4,,
1525908961,-37.8234326,144.9791359,3,,
1691676459,-37.807333,144.9687672,4,,
1691676467,-37.8062005,144.9583284,4,,
1691676471,-37.807347,144.968891,4,,
1725216788,-37.8051471,144.9600534,4,,
1725216810,-37.8059564,144.9646036,4,,
1725216852,-37.8062509,144.9598532,3,,
1725216871,-37.8067646,144.9644611,4,,
1725216895,-37.8068568,144.9643198,3,,
1725216922,-37.8068686,144.9644399,3,,
1833110268,-37.8200286,144.9582187,3,,
1833110275,-37.8195029,144.9600963,4,,
1833110277,-37.8195647,144.9598828,4,,
1833110279,-37.8178063,144.9660039,1,,
1833110282,-37.8186835,144.9630189,3,,
1833110288,-37.8188564,144.9623989,4,,
1833110301,-37.8166914,144.9698375,4,,
1833110319,-37.8070269,144.9659203,4,,
1833115722,-37.8219132,144.9520835,4,,
1838361782,-37.81647,144.9669901,4,traffic_signals,
1865096363,-37.8052589,144.9692308,3,,
1895925154,-37.8063518,144.9596637,5,,
1895925155,-37.8061698,144.9592727,4,,
1900213541,-37.8064174,144.9613443,4,,
1900213543,-37.806558,144.9614844,4,,
1900234252,-37.8077132,144.9617339,3,,
1923401354,-37.8085668,144.9587901,3,,
1985549822,-37.806913,144.9657827,4,,
1985551133,-37.8069298,144.965933,4,,
1985557912,-37.8118036,144.9677385,4,traffic_signals,
1985557917,-37.8077755,144.9658913,4,,
1985557921,-37.8157191,144.9695291,4,,
1985557923,-37.8107637,144.9672597,4,,
1985557927,-37.8108636,144.9673056,4,,
1985557931,-37.8137614,144.9686397,4,traffic_signals,
1985557938,-37.8166559,144.9699502,4,,
1985557960,-37.8070106,144.9657667,4,,
1985557963,-37.8098265,144.9668282,4,traffic_signals,
1992134560,-37.8087435,144.9767163,1,,
2020813831,-37.8139955,144.9601695,4,traffic_signals,
2020813837,-37.8159238,144.9612237,4,traffic_signals,
2020813849,-37.8130167,144.9598849,4,,
2020813855,-37.8119956,144.9594357,4,traffic_signals,
2020813869,-37.8129615,144.9597068,4,,
2020813871,-37.8130553,144.9597517,4,,
2020813875,-37.8129222,144.9598423,4,,
2020813883,-37.8120389,144.9592869,4,traffic_signals,
2020813887,-37.809935,144.9584805,4,,
2020813891,-37.815965,144.9610771,4,traffic_signals,
2020813893,-37.8099711,144.9583444,4,,
2096319043,-37.8079709,144.9754658,3,,
2096319051,-37.8083572,144.9753904,3,,
2164826094,-37.8221748,144.9509746,3,,
2165149751,-37.8181412,144.9648483,4,crossing,
2174950792,-37.8191474,144.9540861,4,,
2174950793,-37.8190376,144.954033,4,,
2174950794,-37.8189774,144.9542254,4,,
2174950798,-37.8201353,144.9547449,3,,
2174950800,-37.8185218,144.9540185,3,,
2174950802,-37.8180478,144.9537967,4,,
2174950855,-37.8171439,144.9533633,4,,
2174950856,-37.8171865,144.9532135,3,,
2174963245,-37.8170198,144.9533067,4,,
2174963248,-37.8170623,144.953157,3,,
2177115239,-37.8154565,144.9586994,4,,
2177124599,-37.8149037,144.9605871,4,,
